img_name,ess_steps,score_text,score_num,entropy_before,entropy_after,token_num,retrieval_score
10.jpg,- Step 1: THR LEVERS: MOVE,"1. Accuracy: 2
   - The instruction ""THR LEVERS: MOVE"" fully matches the warning scenario ""AUTO FLT A/THR LIMITED - THR LEVERS.......MOVE,"" as it directly addresses the action required in response to the warning.

2. Comprehensiveness: 0
   - The generated step lacks detailed explanations. It simply states the action without providing any additional context or guidance on how to execute it or why it is necessary.

3. Hallucination: 0
   - The step is consistent with the given checklist. It correctly stems from the checklist instruction to move the thrust levers to the relevant detent.

4. Conciseness: 0
   - The step is clear and direct, providing the necessary action without requiring additional interpretation or judgment from the pilot.

Overall, the generated step accurately reflects the checklist and warning scenario, but it lacks comprehensiveness in terms of providing detailed explanations.",2 0 0 0,4.5324155741124885,3.76334248827185,82,2 1 0 0
100.jpg,"- Step 1: PTU: OFF
- Step 2: YELLOW ENG 2 PUMP: OFF
- Step 3: YELLOW ELEC PUMP: OFF","1. Accuracy: 1
   - The generated steps partially match the warning scenario. The warning ""HYD Y RSVR LO LVL"" requires actions related to landing distance procedures, flaps, and CAT 3 SINGLE, which are not included in the generated steps.

2. Comprehensiveness: 0
   - The steps lack detailed explanations. They only list actions without providing any context or additional instructions for the pilot.

3. Hallucination: 1
   - The steps do not stem from the checklist for the specific warning ""HYD Y RSVR LO LVL."" The checklist for this warning involves landing distance procedures and flap settings, which are not addressed in the generated steps.

4. Conciseness: 0
   - The steps are clear and direct, but they are not the correct steps for the given warning scenario. They do not require additional judgment but are not applicable to the scenario.",1 0 1 0,5.010935775751969,4.140409247965748,96,2 1 0 0
101.jpg,"- Step 1: PTU: OFF
- Step 2: GREEN ENG 1 PUMP: OFF","1. Accuracy: 0
   - The generated steps do not match the warning scenario of ""HYD G RSVR LO LVL."" The correct procedure for this warning involves landing gear gravity extension and landing distance procedures, not turning off the PTU and GREEN ENG 1 PUMP.

2. Comprehensiveness: 0
   - The generated steps lack detailed explanations. They only provide two steps without any context or additional information that would help the pilot understand the situation or the rationale behind the actions.

3. Hallucination: 1
   - The steps are not consistent with the given checklist for the ""HYD G RSVR LO LVL"" warning. The checklist specifies different actions, such as gravity extension of the landing gear and applying landing distance procedures, which are not mentioned in the generated steps.

4. Conciseness: 0
   - The steps are clear and direct, but they are incorrect for the given warning scenario. They do not require additional judgment, but they do not address the correct procedures needed for the situation.

Overall, the generated steps are incorrect and do not align with the standard checklist for the given warning scenario.",0 0 1 0,5.093133120188275,3.9725857335879793,96,1 1 0 2
103.jpg,"- Step 1: PTU: OFF
- Step 2: GREEN ENG 1 PUMP: OFF","1. Accuracy: 2
   - The generated steps match the warning scenario ""HYD G RSVR OVHT"" as per the standard checklist, which instructs to turn off the PTU and the GREEN ENG 1 PUMP for this specific warning.

2. Comprehensiveness: 0
   - The generated steps do not include detailed explanations. They simply list the actions without providing any context or additional information.

3. Hallucination: 0
   - The steps are consistent with the given checklist. They correctly follow the procedure for the ""HYD G RSVR OVHT"" warning scenario.

4. Conciseness: 0
   - The steps are necessary and direct for the warning. They provide clear and direct instructions without requiring additional judgment or interpretation from the pilot.

Overall, the generated steps are accurate, concise, and consistent with the checklist, but they lack comprehensiveness in terms of detailed explanations.",2 0 0 0,5.093133120188275,3.9725857335879793,95,1 1 0 2
104.jpg,- Step 1: BLUE ELEC PUMP...OFF,"1. Accuracy: 2
   - The instruction ""BLUE ELEC PUMP...OFF"" fully matches the warning scenario ""HYD B RSVR OVHT,"" as it is the first step in the checklist for this specific warning.

2. Comprehensiveness: 0
   - The generated step does not include any detailed explanations or additional instructions beyond turning the pump off.

3. Hallucination: 0
   - The step is consistent with the given checklist and directly stems from it.

4. Conciseness: 0
   - The step is necessary and direct for the warning, providing clear and immediate action without requiring additional interpretation.

Overall, the generated step is accurate, concise, and consistent with the checklist but lacks comprehensiveness in terms of additional explanation or context.",2 0 0 0,4.987131517683428,3.93624341298306,97,2 1 0 0
105.jpg,"- Step 1: PTU: OFF
- Step 2: YELLOW ENG 2 PUMP: OFF
- Step 3: YELLOW ELEC PUMP: OFF","1. Accuracy: 1
   - The generated steps partially match the warning scenario. The warning ""HYD Y RSVR OVHT"" requires actions related to the overheating of the reservoir, but the steps provided are more aligned with a general hydraulic issue rather than specifically addressing the overheating condition.

2. Comprehensiveness: 0
   - The steps lack detailed explanations. They are merely a list of actions without any context or reasoning behind them, which is crucial for understanding the situation and making informed decisions.

3. Hallucination: 1
   - The steps do not stem directly from the checklist provided for the ""HYD Y RSVR OVHT"" scenario. The checklist suggests different actions, such as turning on the YELLOW ENG 2 PUMP and setting the PTU to AUTO if the yellow overheat goes out, which are not reflected in the generated steps.

4. Conciseness: 0
   - The steps are clear and direct, providing specific actions without unnecessary information. However, they require the pilot to interpret the situation without additional guidance or context, which could be problematic in an emergency scenario.

Overall, the generated steps are not fully aligned with the specific warning scenario and lack the necessary detail and context to be effectively used in an emergency situation.",1 0 1 0,5.010935775751969,4.140409247965748,95,2 1 0 0
106.jpg,"- Step 1: PTU: OFF
- Step 2: GREEN ENG 1 PUMP: OFF","1. Accuracy: 2
   - The generated steps fully match the warning scenario ""HYD G RSVR LO AIR PR."" The instructions provided are exactly what the checklist specifies for this warning.

2. Comprehensiveness: 0
   - The generated steps do not include detailed explanations. They are direct actions without any additional context or explanation.

3. Hallucination: 0
   - The steps are consistent with the given checklist and stem directly from it. There is no deviation from the checklist instructions.

4. Conciseness: 0
   - The steps are clear and direct, with no additional judgment required. They provide the necessary actions without any extraneous information.

Overall, the generated steps are accurate, concise, and consistent with the checklist, but they lack detailed explanations.",2 0 0 0,5.093133120188275,3.9725857335879793,96,2 1 0 0
107.jpg,- Step 1: BLUE ELEC PUMP: OFF,"1. Accuracy: 2
   - The instruction ""BLUE ELEC PUMP: OFF"" fully matches the warning scenario ""HYD B RSVR LO AIR PR, IF PRESS FLUCTUATES,"" as it is the correct action to take according to the checklist.

2. Comprehensiveness: 0
   - The generated step does not include any detailed explanations or additional context. It simply states the action to be taken.

3. Hallucination: 0
   - The step is consistent with the given checklist and stems directly from it. There is no deviation or incorrect information.

4. Conciseness: 0
   - The step is clear and direct, providing the necessary action without requiring additional interpretation or judgment from the pilot.

Overall, the generated step is accurate, concise, and consistent with the checklist, but it lacks comprehensiveness in terms of providing detailed explanations.",2 0 0 0,4.987131517683428,3.8143719431796272,111,2 1 0 0
108.jpg,"- Step 1: PTU: OFF
- Step 2: YELLOW ENG 2 PUMP: OFF
- Step 3: YELLOW ELEC PUMP: OFF","1. Accuracy: 2
   - The generated steps fully match the warning scenario ""HYD Y RSVR LO AIR PR"" as they correctly follow the checklist provided for this specific warning.

2. Comprehensiveness: 0
   - The steps are not accompanied by detailed explanations. They are direct instructions without additional context or rationale.

3. Hallucination: 0
   - The steps are consistent with the given checklist. They directly stem from the checklist instructions for the ""HYD Y RSVR LO AIR PR"" scenario.

4. Conciseness: 0
   - The steps are necessary and direct for the warning. They provide clear and concise instructions without requiring additional interpretation or judgment from the pilot.

Overall, the generated steps are accurate, concise, and consistent with the checklist, but they lack comprehensive explanations.",2 0 0 0,5.010935775751969,4.140409247965748,96,2 1 0 0
109.jpg,"- Step 1: ENG PUMP (affected): OFF
- Step 2: L/G: GRVTY EXTN
- Step 3: LDG DIST PROC: APPLY (Multiply the landing distance by 1.1 due to the loss of ground spoilers 1 + 5.)","1. Accuracy: 2
   - The generated steps accurately match the warning scenario ""HYD G ENG 1 PUMP LO PR."" The steps provided are consistent with the checklist for the green system being affected.

2. Comprehensiveness: 0
   - The generated steps do not include detailed explanations. They are direct instructions without any additional context or explanation.

3. Hallucination: 0
   - The steps are consistent with the given checklist. They follow the standard procedure for the scenario described, with no deviation or incorrect information.

4. Conciseness: 0
   - The steps are necessary and direct for the warning. They provide clear instructions without requiring additional interpretation or judgment from the pilot.

Justification: The generated steps are accurate and concise, directly following the checklist for the given scenario. However, they lack comprehensiveness as they do not provide detailed explanations. There is no hallucination, as the steps align perfectly with the checklist.",2 0 0 0,5.086023925378796,5.008180133977609,102,2 1 0 0
